Title: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeframe: 2010 - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,2010__White,2010__Black,2010__Hispanic,2010__Asian/Native Hawaiian and Pacific Islander,2010__American Indian/Alaska Native,2010__Multiple Races,2010__Total,2011__White,2011__Black,2011__Hispanic,2011__Asian/Native Hawaiian and Pacific Islander,2011__American Indian/Alaska Native,2011__Multiple Races,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Asian/Native Hawaiian and Pacific Islander,2012__American Indian/Alaska Native,2012__Multiple Races,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Asian/Native Hawaiian and Pacific Islander,2013__American Indian/Alaska Native,2013__Multiple Races,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Asian/Native Hawaiian and Pacific Islander,2014__American Indian/Alaska Native,2014__Multiple Races,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Asian/Native Hawaiian and Pacific Islander,2015__American Indian/Alaska Native,2015__Multiple Races,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Asian/Native Hawaiian and Pacific Islander,2016__American Indian/Alaska Native,2016__Multiple Races,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Asian/Native Hawaiian and Pacific Islander,2017__American Indian/Alaska Native,2017__Multiple Races,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Asian/Native Hawaiian and Pacific Islander,2018__American Indian/Alaska Native,2018__Multiple Races,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Asian/Native Hawaiian and Pacific Islander,2019__American Indian/Alaska Native,2019__Multiple Races,2019__Total,Footnotes
United States,20971200,6559600,15289300,2224600,587300,903500,46535500,20496800,6403700,15014700,2267100,545000,923100,45650400,19924900,6289300,14854000,2280200,556100,910500,44815000,19511600,6304700,14854800,2248800,553200,933200,44406400,15467200,5040300,12543900,1671000,462400,738300,35923200,12087900,4109100,10612400,1285500,414800,607900,29117600,10962600,3612600,10005100,1114900,4.00E+05,589400,26684600,11308200,3782600,10099700,1144800,399300,634700,27369400,11525100,3901100,10279600,1095300,399300,668600,27868900,11899000,3877900,10891700,1180600,404100,688900,28942300,1
Alabama,366300,208900,86800,10400,3600,8700,684800,354600,207200,78700,6600,3400,8200,658600,330700,206300,64800,7600,4300,8800,622600,346400,205600,70000,6900,N/A,9000,640500,308600,176900,56900,8900,2100,7800,561200,263500,146400,52900,5200,N/A,9000,478300,226000,138600,51600,6400,N/A,7700,432600,247300,134100,52100,7300,N/A,7200,448800,251300,153200,57900,5300,N/A,10500,480900,250400,137500,53600,5600,N/A,7200,456100,
Alaska,58400,2500,8300,9500,32900,10900,122700,64100,N/A,7100,11600,38800,14400,138900,69400,N/A,8600,13100,36200,13000,142300,64400,4200,6900,8000,34000,13200,130700,50300,N/A,14100,8500,34600,10700,122400,46500,N/A,5700,5400,28200,12900,102000,45700,N/A,6400,9800,31600,7400,102700,42900,N/A,3800,11200,24600,12300,97800,40500,N/A,5300,4800,23400,7500,84500,31800,N/A,9300,N/A,21500,10200,79000,
Arizona,397200,33400,506900,21000,77500,16200,1052100,393300,42800,523100,29100,68300,20000,1076600,410500,39000,539400,26700,70400,19300,1105400,407000,45800,539300,29500,71100,21100,1113700,308600,27100,446000,22700,63300,17700,885300,235300,19900,380600,14000,62600,12300,724700,200900,21600,360100,16900,54100,12900,666500,229000,21400,352300,11300,52600,11500,678100,230900,30600,382400,15000,60200,14600,733800,243200,30700,405000,19600,65100,15000,778600,
Arkansas,319800,88800,65700,8400,4400,8200,495200,322400,76100,59500,12900,1900,9600,482500,316100,80700,55200,7500,3900,4400,467800,297000,82100,64800,6200,3200,9000,462300,213500,54100,59500,N/A,N/A,5300,338200,160800,41300,53200,5600,2400,5100,268500,140200,28000,47700,5400,2200,6200,229600,127900,30800,53800,7800,N/A,9900,232000,133400,37900,53200,5200,N/A,8800,240000,155100,35400,56900,6300,4600,5500,263800,
California,1525100,310100,4010200,713100,32500,121800,6712900,1559400,300800,3890800,720700,30800,130300,6632800,1524500,314600,3865500,705800,34400,140100,6584900,1424600,299300,3777400,701000,26800,128900,6358000,1026100,187600,2869200,459900,22200,99600,4664600,661100,129100,2053700,306500,15600,51600,3217700,528100,117000,1811500,257100,13900,59300,2786800,549000,113400,1747000,257000,13600,58000,2738100,560500,114400,1730000,233000,13700,63400,2715000,553300,113500,1925700,276200,16100,62100,2946900,
Colorado,395500,33800,301300,23100,6000,14100,773700,394600,31800,282000,28400,5500,13800,756000,370100,30100,287300,19800,6200,16200,729600,373500,27300,275200,16500,7000,12200,711600,267200,20100,226700,13900,4000,12000,543900,197200,13800,187600,13900,5700,8100,426300,186000,12500,188100,11600,3400,6900,408400,193000,15600,171600,8900,5400,10500,405000,199700,17100,180200,9300,2200,10300,418700,213100,16300,176100,13300,3600,10800,433200,
Connecticut,140600,41400,101500,15400,N/A,10000,309300,137300,34600,1.00E+05,14900,N/A,6700,294100,149400,45800,102000,14500,N/A,5100,318400,158700,43500,98400,14200,N/A,7000,322200,108300,29400,86200,10000,N/A,5700,239700,77300,25100,88300,9100,N/A,6400,207400,66600,19200,66200,8500,N/A,5600,166700,75100,22300,78900,8400,N/A,6800,192300,70600,22300,75300,8500,N/A,4500,181400,83900,21400,78000,8400,N/A,9400,201200,
Delaware,47700,16000,16800,N/A,N/A,N/A,87100,40600,14700,18800,N/A,N/A,1500,77600,38000,14300,16300,4200,N/A,N/A,74100,48000,17400,16900,6000,N/A,N/A,89200,34300,12700,15500,N/A,N/A,N/A,66800,25100,9800,12900,1400,N/A,N/A,49600,23400,10900,13400,N/A,N/A,N/A,51600,20800,11000,15200,N/A,N/A,N/A,50600,24000,9400,15900,N/A,N/A,N/A,52800,28700,15000,14500,N/A,N/A,N/A,61800,
District of Columbia,9200,24600,8200,N/A,N/A,N/A,43400,8800,23800,9600,N/A,N/A,N/A,44100,4500,19300,7000,N/A,N/A,N/A,32900,7000,21500,6800,N/A,N/A,N/A,38600,4800,15600,10600,N/A,N/A,N/A,34000,4100,10900,7400,N/A,N/A,N/A,23500,3200,12900,8200,N/A,N/A,N/A,25500,5400,9800,5700,N/A,N/A,N/A,23600,2300,12800,4300,N/A,N/A,N/A,20700,3100,14100,4800,N/A,N/A,N/A,23400,
Florida,1574200,699600,1425700,104200,9600,64600,3877900,1584700,684000,1396700,96700,10300,63700,3836000,1476300,682400,1389400,108800,11600,57700,3726200,1516100,682700,1410400,102100,12400,60900,3784700,1288900,548500,1188100,83400,8500,50100,3167400,1027900,473100,977100,65600,5900,52900,2602500,972600,418000,957600,57300,6300,60100,2471900,1026200,462400,1000600,59900,6500,49500,2605300,1052000,477400,1027600,62600,9000,62000,2690700,1053000,478400,1035600,67100,6800,66800,2707700,
Georgia,741500,607700,396100,78000,4200,25200,1852700,766400,595300,378200,84800,4700,29700,1859200,724700,577500,358600,77200,N/A,34700,1778100,717700,600500,375300,81000,N/A,32400,1810000,603000,513800,331900,58200,2200,26000,1535200,537400,439700,316600,44700,3200,24200,1365800,517800,395200,301700,43900,2000,20100,1280800,516400,423500,315200,50800,3100,34500,1343600,558400,434200,323800,47700,N/A,30200,1395600,538200,425300,330700,38300,N/A,29000,1365100,
Hawaii,26800,N/A,9100,42700,N/A,17400,96700,27300,N/A,10200,35300,N/A,19300,93800,22200,N/A,9400,39400,N/A,13800,86200,23400,N/A,7500,39600,N/A,19700,91600,15400,N/A,8400,28600,N/A,11500,64500,12800,N/A,7600,21200,N/A,8700,51100,8900,N/A,6800,21700,N/A,7800,46600,11100,N/A,5700,23000,N/A,9600,49800,8300,N/A,9300,22700,N/A,9100,50700,12500,N/A,6500,26400,N/A,7600,53200,
Idaho,203300,2800,55000,4500,4900,3900,274400,176500,N/A,54600,N/A,5400,3300,242300,177900,N/A,58100,3400,4800,5500,250100,185100,N/A,53400,N/A,4000,5900,253300,139900,N/A,60200,N/A,3400,3600,212900,122700,N/A,47300,N/A,4900,N/A,181900,111000,N/A,47900,N/A,4600,2600,169000,120700,N/A,47200,1800,3600,N/A,179900,131500,N/A,48800,2500,2800,5000,191100,127200,N/A,43600,N/A,4100,3900,182300,
Illinois,734200,335400,557700,88700,2700,19200,1737800,662100,318600,524900,76900,N/A,21200,1605400,673200,307300,524900,81500,2000,24200,1613000,632200,308000,530400,79000,N/A,23400,1575400,481700,217900,437900,62800,N/A,17600,1219600,315300,134800,369900,47300,N/A,7900,875400,299600,115400,330100,38600,N/A,13200,798500,318100,123700,341500,34900,N/A,17100,835900,328600,141700,329900,45300,N/A,16100,862200,355400,147700,331000,41300,N/A,15000,891000,
Indiana,685500,109600,108600,15000,3700,17000,939300,659200,109800,114300,14000,N/A,17600,917400,651300,103600,120300,20400,N/A,18200,916000,634700,100500,114400,24800,2200,19100,895800,541900,91400,96200,19500,N/A,15400,765900,427300,69800,102800,13400,2300,13300,629000,357500,49600,86600,8700,1400,10100,513800,356800,63700,90700,10500,N/A,14000,537100,352700,67600,93700,14000,N/A,13000,541900,386500,61700,85500,13500,N/A,15900,564800,
Iowa,205300,14200,41000,6400,N/A,5900,274600,204500,11300,37700,5100,2400,2800,263900,189600,11600,34500,7700,2000,4400,249900,202600,13800,32000,4600,N/A,6100,261100,133000,11000,22400,N/A,N/A,N/A,171900,97400,10900,25900,7900,N/A,2300,146100,86000,5500,24500,N/A,N/A,N/A,121800,91500,4300,21000,9000,N/A,N/A,131200,98900,17800,23500,N/A,N/A,3000,149800,95300,8700,27300,4400,N/A,N/A,142600,
