"Title: Distribution of the Nonelderly with Employer Coverage by Race/Ethnicity | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__White","2010__Black","2010__Hispanic","2010__Asian/Native Hawaiian and Pacific Islander","2010__American Indian/Alaska Native","2010__Multiple Races","2010__Total","2011__White","2011__Black","2011__Hispanic","2011__Asian/Native Hawaiian and Pacific Islander","2011__American Indian/Alaska Native","2011__Multiple Races","2011__Total","2012__White","2012__Black","2012__Hispanic","2012__Asian/Native Hawaiian and Pacific Islander","2012__American Indian/Alaska Native","2012__Multiple Races","2012__Total","2013__White","2013__Black","2013__Hispanic","2013__Asian/Native Hawaiian and Pacific Islander","2013__American Indian/Alaska Native","2013__Multiple Races","2013__Total","2014__White","2014__Black","2014__Hispanic","2014__Asian/Native Hawaiian and Pacific Islander","2014__American Indian/Alaska Native","2014__Multiple Races","2014__Total","2015__White","2015__Black","2015__Hispanic","2015__Asian/Native Hawaiian and Pacific Islander","2015__American Indian/Alaska Native","2015__Multiple Races","2015__Total","2016__White","2016__Black","2016__Hispanic","2016__Asian/Native Hawaiian and Pacific Islander","2016__American Indian/Alaska Native","2016__Multiple Races","2016__Total","2017__White","2017__Black","2017__Hispanic","2017__Asian/Native Hawaiian and Pacific Islander","2017__American Indian/Alaska Native","2017__Multiple Races","2017__Total","2018__White","2018__Black","2018__Hispanic","2018__Asian/Native Hawaiian and Pacific Islander","2018__American Indian/Alaska Native","2018__Multiple Races","2018__Total","2019__White","2019__Black","2019__Hispanic","2019__Asian/Native Hawaiian and Pacific Islander","2019__American Indian/Alaska Native","2019__Multiple Races","2019__Total",Footnotes
"United States","103303400","14166700","16631100","7971000","614600","3082500","145769300","102815200","14164000","17235400","7995800","619700","3169600","145999700","102217800","14286200","17590900","8286500","624100","3275100","146280700","100963800","14301600","17953000","8556500","601900","3532200","145909100","100633900","14645100","19410000","8912800","634300","3601700","147837800","100358900","15073500","20035900","9260600","624600","3886500","149239900","100085200","15457400","20741300","9550500","626900","3984700","150445900","100000000","15719600","21775900","9951300","630800","4268000","153000000","100244900","15767400","22373800","10264500","654300","4451200","153756100","99779800","16081200","23185400","10393600","681800","4563600","155000000","1"
"Alabama","1622300","444600","35200","25500","13100","22000","2162700","1583600","465300","48700","27400","8400","20900","2154400","1610500","440000","49200","34200","9800","23900","2167600","1525800","449000","48100","33500","9500","32400","2098300","1571300","458800","54300","26300","8300","30900","2149800","1555500","477600","55600","31200","8300","34400","2162600","1565800","479600","57300","30200","10100","28900","2171900","1530600","466200","57700","35500","10200","33900","2134100","1559600","488100","54300","37700","8500","35000","2183100","1541700","508700","72000","33600","8400","33800","2198200"
"Alaska","255200","9600","17100","17200","24600","20100","343800","245100","4300","17400","18800","26100","23600","335200","250800","12100","18900","19200","23900","16500","341300","249500","9400","24300","25300","23300","23700","355500","243100","N/A","15400","23300","22100","20700","329000","231700","6700","23600","25700","22700","18500","329000","231400","7700","20300","23200","23600","19500","325700","224500","4400","21700","16800","19800","24000","311200","221600","8400","24900","24200","26300","24900","330400","225500","7000","20400","27400","22200","27100","329700"
"Arizona","1734800","93600","627000","106500","51200","55000","2668100","1695200","96300","643200","95900","59200","52400","2642100","1716100","100600","642100","106200","59100","54500","2678500","1722100","101500","656100","106900","62600","70600","2720000","1696000","114700","736100","112900","60600","66200","2786500","1704900","111500","750900","118800","68800","74000","2828900","1706700","117800","769700","125800","67200","81500","2868700","1766000","122000","828900","141600","69900","88600","3017000","1768600","141300","845900","139600","65100","92200","3052700","1787300","133300","906100","141500","74700","90800","3133800"
"Arkansas","913700","139600","50700","21400","7100","16500","1149000","943500","142500","58900","13800","5100","16500","1180300","938800","145000","64500","21300","4100","24300","1198100","902700","146500","59200","21400","6900","22900","1159700","926000","146600","60200","26100","7700","21600","1188100","907000","139600","69400","23700","6100","24000","1169800","919500","150500","66900","23600","6300","23500","1190400","903800","144200","79600","27900","4400","29000","1189000","917700","135400","81700","27600","8300","28500","1199200","898100","154200","83100","31700","2900","26600","1196700"
"California","7580000","875800","4827000","2552000","54000","538600","16427400","7476500","863300","5023800","2548200","52100","559100","16523000","7435000","805600","5045200","2632600","50300","596000","16564700","7370900","817500","5147900","2671800","44900","612600","16665500","7271200","830200","5489000","2824700","42200","626000","17083300","7177900","863200","5583900","2865200","46400","648300","17185000","7208000","843200","5699300","2927100","40100","700600","17418300","7197100","884000","5970400","3008700","49400","741300","17850900","7041300","904300","6045300","3148000","41500","741400","17921800","7107000","894000","6117600","3185400","47100","757500","18108600"
"Colorado","1921800","71000","364300","67200","8900","60500","2493500","1910800","72600","376900","73900","9300","51100","2494700","1911500","68900","368200","79400","8400","55900","2492300","1907200","72400","373600","91400","10500","71700","2526800","1918600","77900","414800","81000","12300","66900","2571500","1948900","74700","424100","86100","8900","70900","2613700","1991000","86300","431200","90600","9000","67300","2675400","1996700","89800","451100","98000","10500","73000","2719000","2069800","93000","481000","102500","10600","82500","2839300","2112900","92500","519500","108300","10600","95000","2938800"
"Connecticut","1534600","144400","163500","80000","N/A","41900","1966700","1498300","155100","162800","90300","N/A","37200","1945500","1465700","137200","165100","98200","1900","36100","1904200","1399600","146700","171200","93100","N/A","40500","1852900","1379200","140200","177100","94700","N/A","35800","1828700","1367200","148900","183600","97800","N/A","34600","1833800","1352900","155300","197300","94500","3400","37600","1841000","1323000","153300","192900","94900","3100","52000","1819200","1317400","155800","198600","101500","N/A","41100","1815700","1250700","158200","212600","99600","N/A","47200","1770000"
"Delaware","314400","83400","22400","18900","N/A","8200","448200","320300","84400","28500","18900","N/A","7800","461100","305200","87800","29000","17500","N/A","12800","453500","304200","83800","26000","21500","N/A","9300","445700","308400","92000","37100","26200","1900","7200","472800","309400","85500","34100","21400","N/A","12100","463500","305800","94100","34100","25000","1500","12700","473300","309200","96100","37100","24800","N/A","14800","482800","296900","88600","33100","23600","N/A","11300","454100","294000","91600","31400","22600","N/A","13700","454800"
"District of Columbia","140200","106400","19200","14300","N/A","7600","288100","150100","98400","25100","13900","N/A","9400","297900","156400","99300","25800","13000","N/A","7300","302900","159200","96700","26400","11400","N/A","11000","304900","163000","95900","24000","14200","N/A","9200","307000","166800","102900","35100","17200","N/A","11100","333800","171300","94500","31100","16700","N/A","10700","324700","173100","104200","33000","17100","N/A","11300","339000","182100","89400","37000","17600","N/A","14800","341300","188100","103200","32600","17700","N/A","13500","355400"
"Florida","4567700","967700","1329500","212800","15200","144000","7236800","4519900","963400","1376000","221300","13900","139100","7233600","4478600","979100","1383700","229500","12500","130800","7214100","4308800","998000","1420200","242800","11900","152200","7133900","4304400","1046500","1545900","229000","11500","164600","7301800","4356300","1052100","1638300","255900","10600","173000","7486300","4427700","1128800","1718700","263400","11300","180700","7730700","4478200","1162900","1828800","287500","13200","191500","7962000","4462000","1190100","1970800","272200","11600","223800","8130500","4467800","1214700","2039100","276100","15800","229000","8242400"
