Title: Distribution of the Total Population by Federal Poverty Level (above and below 100% FPL) | KFF,,,,,,,,,,,,,,,,,,,,,
Timeframe: 2010 - 2019,,,,,,,,,,,,,,,,,,,,,
Location,2010__At or Below 99%,2010__100%+,2011__At or Below 99%,2011__100%+,2012__At or Below 99%,2012__100%+,2013__At or Below 99%,2013__100%+,2014__At or Below 99%,2014__100%+,2015__At or Below 99%,2015__100%+,2016__At or Below 99%,2016__100%+,2017__At or Below 99%,2017__100%+,2018__At or Below 99%,2018__100%+,2019__At or Below 99%,2019__100%+,Footnotes
United States,46080300,254725900,48190800,254889800,48475300,256901300,48656500,258849000,48028600,262183600,46077300,266700600,44192500,270273900,42386900,274635700,41644300,276854200,39383200,280000000,1
Alabama,888400,3763100,895200,3780800,879200,3816800,891200,3814600,916800,3797300,893600,3836500,817600,3912400,796000,3945400,797800,3954800,736300,4030800,
Alaska,75800,608800,71900,625300,80800,625400,63800,641300,88600,618000,73100,634500,75500,639500,83200,626900,76100,633000,75100,626600,
Arizona,1097000,5160000,1210800,5113700,1170800,5215500,1202200,5263500,1182000,5374200,1153900,5501200,1115400,5645500,1008400,5832800,973900,6030400,950700,6147400,
Arkansas,531900,2302100,532500,2317000,545500,2314700,552000,2316700,542500,2337500,559400,2322900,498800,2396600,471000,2439000,508200,2413100,482500,2440000,
California,5763500,30752200,6137200,30725600,6280000,30941400,6269000,31242200,6230500,31751100,5879000,32446200,5529200,32913200,5117700,33596100,4940800,33805000,4559400,34083300,
Colorado,645300,4270900,665200,4318700,690600,4355300,664800,4465400,637400,4579600,614700,4700700,583200,4814800,563300,4897800,541700,5013500,525800,5086000,
Connecticut,342700,3121000,378600,3087800,375500,3103800,365800,3113100,355600,3124900,357100,3120900,328200,3136900,326000,3152600,358600,3107700,351600,3101800,
Delaware,105300,766400,108000,772000,108600,779400,116500,782000,117400,787800,124300,794000,107700,816600,120300,811400,110600,827100,102500,837800,
District of Columbia,110500,459600,110600,473300,104100,491800,118200,492100,104900,518600,104400,530400,122700,521700,107900,549700,111000,556900,95900,575400,
Florida,3045700,15353100,3175900,15438300,3232000,15645000,3235700,15857400,3222200,16208900,3110100,16702400,2979700,17164300,2878300,17654000,2791200,18052300,2668600,18323400,
Georgia,1687900,7726800,1821800,7695600,1845000,7771300,1827800,7863100,1824500,7968300,1694000,8215700,1581400,8419600,1534200,8587200,1467200,8745600,1381600,8912400,
Hawaii,136700,1165000,160200,1151700,158400,1171900,144700,1186800,156200,1191900,148500,1214100,122600,1242000,143700,1212400,128200,1226600,131200,1211800,
Idaho,235400,1303500,238800,1308500,242700,1319700,250600,1330300,238300,1360500,228500,1388700,237000,1413600,221400,1460700,206600,1513000,194100,1556800,
Illinois,1744500,10791900,1847400,10706400,1843200,10724600,1824900,10746200,1800000,10769400,1724500,10825200,1624500,10866700,1581700,10914900,1485400,10952900,1404700,10957700,
Indiana,965200,5324100,994100,5323000,990900,5347800,1008300,5358200,979700,5407000,967000,5448200,900400,5531000,872700,5586800,850800,5636300,791500,5720300,
Iowa,375800,2572400,379400,2584300,375600,2600500,389200,2601100,368600,2633500,389000,2630800,346000,2684500,309400,2736200,343200,2713500,349200,2711000,
Kansas,363300,2397600,392900,2379300,383700,2403800,380800,2415700,383400,2427200,364600,2452000,340800,2476100,337300,2480200,344000,2470700,323200,2488000,
Kentucky,787800,3419300,826900,3401000,815700,3419400,783800,3477100,796100,3472800,779900,3503500,799200,3488400,748100,3559000,723300,3597000,694700,3624600,
