"Title: Distribution of the Total Population by Federal Poverty Level (above and below 200% FPL) | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Under 200%","2010__200%+","2011__Under 200%","2011__200%+","2012__Under 200%","2012__200%+","2013__Under 200%","2013__200%+","2014__Under 200%","2014__200%+","2015__Under 200%","2015__200%+","2016__Under 200%","2016__200%+","2017__Under 200%","2017__200%+","2018__Under 200%","2018__200%+","2019__Under 200%","2019__200%+",Footnotes
"United States","103423500","197382700","106362800","196717900","106949600","198427000","106758000","200747500","106087800","204124500","103127800","209650100","99900200","214566200","98125300","218897200","96825600","221672900","92396500","227000000","1"
"Alabama","1871000","2780400","1897400","2778600","1868200","2827800","1889100","2816700","1888400","2825700","1847700","2882400","1760000","2970100","1782800","2958600","1736300","3016400","1695300","3071800"
"Alaska","184700","499900","188900","508200","187700","518500","170000","535100","195200","511400","193700","513800","179800","535200","194100","516100","179700","529400","171200","530500"
"Arizona","2446100","3810800","2532400","3792100","2526200","3860100","2560900","3904800","2538900","4017300","2472800","4182400","2441100","4319800","2357400","4483900","2358000","4646200","2263000","4835000"
"Arkansas","1215800","1618300","1223900","1625600","1222500","1637700","1242500","1626100","1236400","1643600","1196200","1686100","1176600","1718900","1129900","1780100","1163000","1758300","1149900","1772600"
"California","13145800","23369800","13775600","23087300","13829800","23391600","13782600","23728600","13672100","24309400","13187900","25137200","12568100","25874300","11943400","26770500","11544200","27201600","10813600","27829100"
"Colorado","1504400","3411800","1556500","3427400","1544500","3501400","1535600","3594600","1498900","3718100","1477000","3838300","1441300","3956800","1392000","4069000","1374500","4180700","1308500","4303200"
"Connecticut","793900","2669800","838900","2627400","835900","2643400","835100","2643900","842900","2637500","788500","2689500","757700","2707400","776100","2702600","818800","2647500","786300","2667100"
"Delaware","242100","629600","254500","625500","267400","620600","273400","625200","247700","657600","259800","658500","235000","689300","256600","675100","256000","681700","231200","709100"
"District of Columbia","192500","377700","185300","398600","188200","407800","211700","398600","191600","431900","196400","438400","196200","448200","194400","463200","183200","484700","170900","500400"
"Florida","6923900","11475000","7229900","11384300","7384700","11492200","7338700","11754500","7370000","12061100","7312900","12499600","7151800","12992300","7111000","13421300","6915300","13928200","6721000","14271000"
"Georgia","3673500","5741200","3806000","5711400","3863800","5752600","3850500","5840400","3789500","6003400","3684700","6225000","3527800","6473200","3504300","6617100","3390000","6822800","3281800","7012200"
"Hawaii","316800","984800","356200","955700","358500","971800","342200","989400","337700","1010400","332800","1029800","304600","1060000","303500","1052600","308100","1046700","282900","1060100"
"Idaho","606800","932100","600800","946500","609600","952900","629400","951500","606000","992900","598500","1018700","576100","1074600","574300","1107800","576600","1143100","558200","1192700"
"Illinois","3927400","8609000","4105800","8448000","4065100","8502700","3996500","8574600","3903700","8665700","3796800","8752900","3692300","8798900","3624100","8872500","3515500","8922800","3271900","9090400"
"Indiana","2238200","4051100","2233300","4083700","2257500","4081300","2286500","4080000","2208100","4178600","2153400","4261700","2068200","4363200","2042000","4417400","2020600","4466500","1946800","4565000"
"Iowa","888500","2059700","925000","2038800","889200","2086900","910300","2080000","904900","2097200","911500","2108400","830700","2199800","834900","2210700","838800","2218000","840200","2220100"
"Kansas","891500","1869400","914000","1858200","908600","1879000","899600","1896900","914600","1896100","859400","1957200","845000","1971900","853900","1963700","841500","1973200","790300","2020900"
"Kentucky","1679500","2527600","1679000","2548900","1701500","2533600","1666000","2594900","1686100","2582700","1629500","2653900","1629700","2657900","1593300","2713800","1557900","2762400","1496800","2822600"
"Louisiana","1739600","2660800","1797600","2633600","1828600","2628400","1793200","2690000","1802100","2706400","1803600","2726700","1779700","2750800","1844300","2697300","1809700","2709600","1697100","2801500"
"Maine","430500","860100","451700","840500","458600","834000","445900","846000","442000","851900","406000","886600","392000","901800","371400","928800","375300","924200","377800","924500"
