"Title: Distribution of the Total Population by Federal Poverty Level (above and below 400% FPL) | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Under 400%","2010__400%+","2011__Under 400%","2011__400%+","2012__Under 400%","2012__400%+","2013__Under 400%","2013__400%+","2014__Under 400%","2014__400%+","2015__Under 400%","2015__400%+","2016__Under 400%","2016__400%+","2017__Under 400%","2017__400%+","2018__Under 400%","2018__400%+","2019__Under 400%","2019__400%+"
"United States","194674700","106131500","197423700","105656900","198604900","106771700","199060600","108444900","198892800","111319400","196331200","116446700","193239400","121227000","192599100","124423400","191212800","127285700","186748400","132500900"
"Alabama","3284500","1366900","3318800","1357200","3327600","1368400","3350400","1355400","3323900","1390200","3295800","1434300","3223000","1507100","3251300","1490100","3215300","1537400","3193900","1573200"
"Alaska","384300","300300","384800","312300","383700","322600","372800","332300","381800","324800","398400","309100","379400","335600","385500","324600","388600","320500","391200","310500"
"Arizona","4342700","1914200","4487000","1837500","4465600","1920700","4515600","1950100","4531200","2025000","4535100","2120000","4551800","2209100","4485500","2355700","4554900","2449300","4542000","2556000"
"Arkansas","2096300","737800","2130700","718800","2140400","719800","2137100","731600","2155900","724100","2114000","768300","2089500","805900","2077900","832100","2097200","824000","2059700","862800"
"California","23270100","13245600","23804300","13058500","24028900","13192600","23984200","13527000","24016000","13965500","23657600","14667600","23126600","15315800","22741300","15972600","22192400","16553400","21502700","17140100"
"Colorado","2970300","1945800","3004700","1979200","3074300","1971600","3103000","2027100","3074200","2142800","3065700","2249600","3063100","2335000","3016400","2444600","3014500","2540600","2894700","2717100"
"Connecticut","1740400","1723300","1710500","1755900","1755600","1723700","1754600","1724300","1698100","1782300","1660300","1817700","1619600","1845500","1692800","1785900","1631900","1834500","1602600","1850700"
"Delaware","511200","360500","521000","359100","531400","356600","539300","359300","534700","370600","534300","384000","521000","403300","512300","419400","524800","412900","503200","437200"
"District of Columbia","314600","255600","309300","274500","305500","290400","333200","277200","327800","295700","321700","313100","323400","321000","312700","344900","307700","360200","293500","377800"
"Florida","12763000","5635800","13011500","5602700","13244100","5632800","13409700","5683500","13515400","5915700","13504000","6308500","13562400","6581700","13658800","6873500","13624500","7219000","13451100","7540900"
"Georgia","6506600","2908100","6627900","2889600","6671300","2945000","6686800","3004000","6759700","3033100","6671700","3238000","6557800","3443200","6498000","3623500","6447900","3764900","6389400","3904600"
"Hawaii","737200","564400","787900","524000","792500","537800","744800","586700","775400","572800","748700","613900","706300","658300","719800","636300","694900","659900","655500","687500"
"Idaho","1142700","396100","1152900","394400","1139300","423200","1179800","401100","1151600","447200","1158100","459100","1138700","512000","1180000","502200","1172100","547500","1165200","585700"
"Illinois","7755200","4781200","7890700","4663000","7784900","4783000","7721500","4849600","7653700","4915700","7484800","5064900","7249300","5241900","7249400","5247200","7116400","5322000","6742600","5619800"
"Indiana","4372200","1917100","4382300","1934800","4434900","1903900","4454200","1912300","4389300","1997500","4322000","2093100","4241000","2190400","4200900","2258600","4197600","2289500","4135800","2376000"
"Iowa","1956500","991700","1958900","1004900","1959100","1016900","1953000","1037300","1919200","1082800","1908700","1111100","1837500","1192900","1848300","1197300","1883600","1173100","1851700","1208500"
"Kansas","1805200","955800","1837300","934900","1848400","939100","1856900","939700","1839300","971300","1761000","1055600","1763800","1053200","1776000","1041500","1777300","1037400","1712600","1098600"
"Kentucky","3029900","1177200","3042100","1185800","3033400","1201700","3022500","1238400","3053300","1215500","3004700","1278700","2947000","1340700","2979300","1327800","2937600","1382800","2891300","1428000"
"Louisiana","3046900","1353400","3089000","1342200","3122500","1334500","3112100","1371100","3108400","1400100","3111500","1418800","3095600","1434900","3075400","1466100","3073200","1446200","2995000","1503600"
"Maine","868400","422200","872300","420000","878900","413700","871000","420900","857100","436700","840700","451900","807000","486800","791700","508500","786700","512800","793400","509000"
"Maryland","2788000","2834200","2816500","2852100","2882100","2840600","2899300","2868200","2917200","2902100","2864400","2973800","2774700","3081800","2781500","3111400","2716000","3154800","2680100","3195500"
"Massachusetts","3247900","3080600","3343100","3017400","3304600","3106000","3304800","3146700","3287700","3218800","3185800","3369800","3059600","3510900","3076400","3544200","3062700","3597200","2936100","3714700"
"Michigan","6535700","3121900","6561200","3093800","6568200","3091100","6483400","3180900","6414200","3268500","6331600","3362100","6108800","3584700","6195700","3524700","6094800","3675200","5920900","3844700"
"Minnesota","3032900","2154600","3094100","2128200","3053200","2203100","3070500","2217400","3038600","2291800","2957600","2407900","2894900","2498000","2904900","2541600","2897100","2591800","2793700","2721100"
"Mississippi","2182400","684800","2219500","659100","2225000","659600","2223800","665400","2209900","676900","2192800","696500","2110800","776500","2113900","770600","2110400","769000","2084000","783100"
"Missouri","3949200","1852800","3980400","1843100","4023700","1807000","4008200","1844900","3973600","1896600","3905400","1985600","3840500","2057600","3829200","2092100","3805000","2129500","3756900","2183000"
"Montana","665200","297600","679900","291700","697400","281300","679300","307000","691700","301900","662500","343400","672400","342800","651200","371400","674300","359700","656300","383200"
"Nebraska","1175700","595300","1166700","615600","1192700","602400","1171200","640000","1188400","635300","1162700","675600","1137500","707500","1166900","692300","1159800","709200","1128100","745500"
"Nevada","1803600","854000","1889100","786700","1905300","805600","1926600","818900","1961400","833800","1973400","869300","1924500","965900","1950600","996000","1957300","1026100","1939300","1090400"
"New Hampshire","675300","600600","676200","602000","685400","594700","702200","578600","673900","612700","635700","651900","613400","677900","628000","668900","636000","674300","616100","698000"
"New Jersey","4306000","4314400","4364300","4274400","4400500","4285000","4472900","4244000","4386000","4370200","4351800","4424500","4205500","4557300","4135300","4688600","4007200","4721200","3905200","4794100"
"New Mexico","1456700","561300","1479100","557400","1484100","555100","1465600","574600","1488000","548700","1461500","573800","1431900","597500","1450100","588000","1475700","569600","1406100","635300"
"New York","11306000","7554000","11472300","7468200","11476100","7564100","11527000","7592600","11462600","7753700","11202800","8066400","11003900","8217500","10805400","8510300","10527900","8489000","10047500","8860900"
"North Carolina","6455900","2785200","6508100","2845000","6591300","2847900","6644600","2877900","6667500","2965400","6617400","3116300","6520900","3309000","6481400","3467400","6490100","3554300","6435600","3704100"
"North Dakota","420800","226400","395900","261200","383800","288100","417600","275900","423200","285200","417200","309200","408800","317200","417600","308400","401900","328800","390300","340700"
"Ohio","7546300","3669300","7574300","3650300","7576400","3645700","7508400","3731200","7447400","3822900","7304800","3988600","7169700","4109000","7131200","4192300","7058200","4297700","6981500","4370100"
"Oklahoma","2627000","1008500","2621200","1043600","2623700","1065800","2662100","1064800","2643000","1106500","2638400","1145300","2613000","1187800","2633100","1170600","2630300","1185800","2561300","1265700"
"Oregon","2544300","1219700","2604800","1188700","2620900","1204600","2607800","1243800","2608600","1281000","2525600","1423200","2508100","1506500","2501600","1561400","2454800","1656000","2397300","1731600"
"Pennsylvania","7769100","4524600","7775100","4543100","7776800","4570800","7715500","4628800","7682700","4685400","7503300","4883100","7394300","4970400","7257600","5131500","7207000","5181000","7027600","5350100"
"Rhode Island","599600","409500","602600","404700","596700","411200","593800","414900","605400","408300","572300","442100","558300","455600","554900","461000","556500","457500","529400","487700"
"South Carolina","3202300","1274200","3240500","1279000","3249700","1319300","3276600","1339600","3279800","1394500","3301700","1432300","3248500","1556800","3285800","1578800","3317800","1611900","3209300","1774900"
"South Dakota","533100","253900","521600","269800","537900","262600","572900","238700","549300","272300","553000","275900","543400","292400","534000","303000","559200","289400","522800","328500"
"Tennessee","4422000","1764200","4473900","1756600","4488900","1788500","4492300","1826300","4516900","1857800","4428200","1994600","4420800","2046900","4402600","2135600","4426100","2160300","4352800","2288200"
"Texas","16809900","7774400","17120100","7886000","17279900","8104500","17399100","8374000","17563500","8716600","17630100","9147400","17662400","9516000","17802500","9818700","17938500","10085500","17698300","10587900"
"Utah","1906800","817300","1932600","834900","1951300","850500","1978500","871000","1987000","904800","1952000","993200","1963300","1036100","1940400","1107000","1924900","1181000","1891700","1262300"
"Vermont","376600","222900","366100","233700","383200","217500","382300","220300","364100","235800","348400","253900","355400","244200","363100","237100","351400","249200","327300","270800"
"Virginia","4273700","3430100","4352200","3431500","4406900","3458700","4441600","3504100","4450200","3555800","4408800","3642500","4289200","3791700","4287600","3853100","4272000","3910000","4176100","4009000"
