"Title: "
"Timeframe: 2010 - 2019"
"Location","2010__At Least 1 Full Time Worker","2010__Part Time Workers","2010__Non Workers","2010__Total","2011__At Least 1 Full Time Worker","2011__Part Time Workers","2011__Non Workers","2011__Total","2012__At Least 1 Full Time Worker","2012__Part Time Workers","2012__Non Workers","2012__Total","2013__At Least 1 Full Time Worker","2013__Part Time Workers","2013__Non Workers","2013__Total","2014__At Least 1 Full Time Worker","2014__Part Time Workers","2014__Non Workers","2014__Total","2015__At Least 1 Full Time Worker","2015__Part Time Workers","2015__Non Workers","2015__Total","2016__At Least 1 Full Time Worker","2016__Part Time Workers","2016__Non Workers","2016__Total","2017__At Least 1 Full Time Worker","2017__Part Time Workers","2017__Non Workers","2017__Total","2018__At Least 1 Full Time Worker","2018__Part Time Workers","2018__Non Workers","2018__Total","2019__At Least 1 Full Time Worker","2019__Part Time Workers","2019__Non Workers","2019__Total",Footnotes
"United States","205750600","22439000","33469100","261658700","206575400","22681000","33735600","262992000","208871300","22105300","32576600","263553200","210934000","21963500","31254000","264151600","213637900","21319200","30345200","265302300","216591300","20755900","29011800","266359000","218347000","20477300","27723900","266548300","213538400","21663000","32335600","267537000","215026600","21205300","31145300","267377300","215040700","21457900","29966300","266465000","1"
"Alabama","2954000","327000","731000","4012100","2974000","324600","724400","4023000","3006000","323400","689200","4018700","3000400","326000","678000","4004400","3030700","309400","647600","3987600","3039900","297500","646700","3984100","3052700","306400","607800","3966900","2967000","297000","693800","3957800","2993100","271600","676900","3941700","3040200","306300","585900","3932400"
"Alaska","502300","45600","84100","631900","506000","55500","77800","639300","507800","55100","83700","646600","515000","57200","66500","638800","524100","48400","66300","638700","504300","58900","73600","636800","500900","57900","82600","641400","490200","54900","84600","629700","476400","62800","84500","623700","466400","49600","94200","610200"
"Arizona","4137200","476200","768000","5381400","4097000","518500","799400","5414800","4205200","468900","750200","5424300","4286300","450500","724000","5460900","4348600","438900","710800","5498300","4435400","434700","679700","5549800","4480700","452100","668400","5601300","4446800","471100","737600","5655500","4540300","481300","736800","5758400","4579800","489200","735300","5804400"
"Arkansas","1835500","197500","395400","2428400","1857600","187800","391800","2437100","1886500","172900","374700","2434100","1874000","184100","372900","2430900","1889700","182600","358600","2430800","1887800","174000","361900","2423700","1913300","166700","343900","2423800","1877800","166600","385000","2429400","1866000","182500","383700","2432200","1884200","170200","362400","2416800"
"California","25179400","3121200","4036700","32337300","25301200","3191100","4068900","32561200","25650700","3140300","3920300","32711300","25931600","3111300","3760700","32803500","26486500","2948700","3644000","33079200","27004700","2909900","3312900","33227400","27205300","2800400","3179200","33184900","26465600","3019100","3815900","33300700","26592200","2914200","3662900","33169200","26547300","2923800","3432600","32903700"
"Colorado","3532700","372400","475000","4380100","3544100","408600","471100","4423700","3666100","358800","426300","4451200","3708000","374800","417600","4500500","3792400","359800","398500","4550800","3895800","337200","387700","4620700","3951700","327900","389600","4669200","3873900","393400","432100","4699400","3937000","388600","434800","4760400","3969400","397600","413500","4780500"
"Connecticut","2438100","246600","294500","2979200","2432000","255800","286800","2974600","2419600","259300","288800","2967700","2418500","247000","292000","2957600","2428800","247400","269400","2945600","2435700","246700","251900","2934300","2433600","232500","243100","2909300","2345300","256900","298000","2900200","2352300","248400","274700","2875400","2295700","272900","274300","2842900"
"Delaware","601400","57400","88200","747000","590500","67200","91900","749600","605700","66800","77500","750100","599900","68600","88000","756500","616000","51000","89700","756600","620400","62500","79900","762800","635300","51700","74500","761400","599000","65100","97600","761700","617400","48900","93500","759800","604100","70300","80600","755100"
"District of Columbia","379600","36000","87400","503100","389100","28900","98700","516700","407300","34700","84700","526700","408200","37700","93600","539500","435900","33300","82600","551700","439700","39100","84300","563200","437700","41600","88500","567800","430500","45200","100400","576000","450000","39600","95800","585300","447500","42700","95800","586000"
"Florida","11622000","1386400","2178600","15187000","11709600","1405000","2201900","15316500","11874100","1402800","2161000","15437900","12022500","1405000","2092100","15519600","12340400","1351600","2010100","15702100","12678400","1312700","1946100","15937300","12947700","1328700","1843300","16119700","12747000","1399400","2239600","16386000","13076600","1348100","2125100","16549800","13164200","1370300","2030600","16565100"
"Georgia","6503500","713000","1195200","8411600","6454600","737500","1281000","8473200","6528100","706400","1272300","8506900","6677500","681000","1168800","8527300","6755900","690900","1127300","8574200","6923700","659300","1064000","8647000","7023600","646800","1000200","8670700","6968000","658600","1122100","8748700","7090000","631500","1065000","8786400","7131900","625500","1043400","8800700"
"Hawaii","875000","107900","124600","1107600","872500","100300","140100","1112900","887000","99800","137000","1123800","897300","87000","131300","1115600","908900","93500","120800","1123300","924400","92000","114200","1130600","926400","82200","116600","1125300","881000","88300","137300","1106600","862300","99900","134500","1096700","860900","90700","126400","1078000"
"Idaho","1061500","136900","147600","1346000","1075800","131800","141100","1348700","1090500","123300","142700","1356500","1116400","113500","132100","1361900","1121200","112000","135100","1368300","1133200","119200","127700","1380100","1171500","91300","134600","1397500","1154700","111800","155900","1422400","1156100","131300","156400","1443700","1209100","119500","138900","1467500"
"Illinois","8744300","957900","1283300","10985400","8743200","927700","1305600","10976600","8815000","890800","1229200","10935000","8822700","910600","1163300","10896600","8857700","865400","1127800","10851000","8857000","850400","1075900","10783200","8828800","849200","1003700","10681800","8576400","864800","1177300","10618400","8586700","839200","1086800","10512600","8556400","790000","1034600","10381100"
"Indiana","4314300","464700","704500","5483500","4324700","471800","699300","5495800","4392100","456200","635400","5483700","4406700","440200","640600","5487400","4414900","433500","632500","5480900","4486600","410200","588700","5485500","4509600","436000","530400","5476000","4392800","397000","681200","5471000","4452200","389800","629600","5471700","4401000","442200","622300","5465500"
"Iowa","2094100","219100","206600","2519800","2106300","196500","226700","2529500","2138100","185300","207400","2530800","2152900","177900","204800","2535600","2154600","181400","197400","2533400","2166200","175200","200400","2541800","2186700","166000","185100","2537700","2133300","204300","208300","2546000","2128000","191900","219000","2538900","2104500","191700","232500","2528600"
"Kansas","1974700","189700","235400","2399800","1994400","194800","219100","2408300","2021400","173900","218900","2414200","2025000","162800","219100","2407000","2026700","168400","218600","2413700","2042700","161700","205400","2409800","2070300","145800","184000","2400200","1988500","159500","238600","2386700","1980300","165400","227500","2373200","1964700","174300","212000","2350900"
"Kentucky","2688700","287400","673800","3649900","2662800","322700","671200","3656600","2700200","289500","654600","3644400","2749000","300700","598600","3648200","2722300","296600","617900","3636800","2767000","275400","589200","3631700","2769800","314300","539700","3623700","2725600","293200","603500","3622200","2720600","286400","602300","3609300","2739000","272700","574800","3586500"
"Louisiana","2976100","274000","612900","3863000","2943200","325900","610500","3879600","2949900","351500","577900","3879300","2994300","320400","582100","3896900","3010600","300400","585900","3896900","2996600","319900","581300","3897800","2948800","303000","624100","3875900","2885700","316100","664700","3866400","2865100","320700","633900","3819700","2831100","317700","628000","3776800"
"Maine","844500","94700","147400","1086700","826400","116000","139100","1081400","824800","100500","147900","1073200","848600","90100","125300","1064000","834900","89500","134500","1058900","836500","92800","118000","1047300","829900","97600","116500","1044100","810500","95300","135700","1041400","812700","94700","124200","1031500","803200","91500","130000","1024700"
"Maryland","4161200","304100","467900","4933200","4154100","318200","489900","4962200","4210600","322800","450900","4984300","4244000","312200","443200","4999400","4279500","309300","435400","5024100","4279800","284000","453600","5017500","4300600","286900","415800","5003300","4194100","329000","493800","5016900","4188700","323500","452200","4964400","4143600","326700","466600","4936800"
