"Title: Nonelderly Adult Poverty Rate by Sex | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Male","2010__Female","2010__Total","2011__Male","2011__Female","2011__Total","2012__Male","2012__Female","2012__Total","2013__Male","2013__Female","2013__Total","2014__Male","2014__Female","2014__Total","2015__Male","2015__Female","2015__Total","2016__Male","2016__Female","2016__Total","2017__Male","2017__Female","2017__Total","2018__Male","2018__Female","2018__Total","2019__Male","2019__Female","2019__Total",Footnotes
"United States","11203000","14792300","25995300","11767800","15575100","27343000","11722300","15673300","27395600","11886600","15854300","27740900","11735600","15671200","27406700","11127600","15105200","26232800","10624500","14405600","25030100","10128300","13792600","23921000","9804100","13488000","23292100","9237300","12655100","21892400","1"
"Alabama","201400","289800","491200","203800","296700","500500","2.00E+05","292300","492300","202100","296900","499000","210000","307300","517300","210200","304100","514300","192500","270300","462800","177000","268100","445000","178400","265900","444300","164800","249500","414300"
"Alaska","18600","25300","43900","17000","22800","39900","21300","26600","47900","17800","20400","38200","26600","26900","53500","22200","19200","41400","19400","25000","44400","22300","25800","48100","23500","22800","46300","19000","24400","43300"
"Arizona","277200","335200","612400","302400","370200","672600","283800","364300","648100","300300","373700","674000","292500","370600","663100","292300","358000","650300","270700","335800","606400","250400","309900","560300","241200","295000","536200","234000","281000","515000"
"Arkansas","123200","166900","290100","121700","174300","296000","124800","177100","301900","129700","173500","303200","126200","170900","297100","134200","181000","315100","119400","157900","277300","110500","149900","260400","106300","172400","278700","111800","153000","264700"
"California","1458500","1778500","3237100","1571400","1923400","3494800","1573400","1959800","3533300","1582900","1993300","3576200","1589200","1971400","3560600","1483000","1888500","3371500","1361400","1750900","3112400","1240100","1639600","2879700","1194500","1550900","2745400","1112100","1413300","2525400"
"Colorado","174500","209900","384400","181900","216400","398300","185100","223800","408900","172700","224000","396600","177600","209400","387000","172300","202500","374800","154900","199400","354400","152200","193400","345600","143100","183000","326100","147400","180000","327300"
"Connecticut","84200","120300","204400","89700","124900","214600","90700","124500","215200","86000","124100","210000","81900","123500","205500","88600","120200","208800","85300","110500","195800","82500","108500","191000","82300","120600","202900","84600","114700","199300"
"Delaware","24500","32100","56600","21800","37700","59400","24900","39000","63900","27700","39400","67100","27200","39200","66300","26800","42200","69000","24800","35400","60200","27800","42600","70400","27300","37900","65100","21100","35600","56800"
"District of Columbia","28100","42100","70100","28000","39700","67800","28000","38200","66200","31300","43200","74500","25500","38800","64300","30500","34000","64500","35500","42600","78100","25200","39500","64700","26200","39000","65200","23600","33000","56600"
"Florida","787900","953400","1741300","815100","992200","1807300","788900","1026500","1815400","815400","1033300","1848600","801600","1026300","1827900","743000","989200","1732200","712600","945700","1658300","671400","899200","1570600","641100","863300","1504400","604400","810800","1415200"
