"Title: Number of Reported Chlamydia Cases by Gender | KFF"
"Timeframe: 2010 - 2018"
"Location","2010__Men","2010__Women","2011__Men","2011__Women","2012__Men","2012__Women","2013__Men","2013__Women","2014__Men","2014__Women","2015__Men","2015__Women","2016__Men","2016__Women","2017__Men","2017__Women","2018__Men","2018__Women",Footnotes
"United States","353923","949802","389970","1018552","402557","1018272","405652","993348","433325","1006441","478981","1045143","522870","1072719","577644","1127651","610447","1145063","1"
"Alabama","6877","20030","7648","21217","8295","22099","8201","21096","8318","20619","7549","18674","7585","19131","8837","20993","8807","19537"
"Alaska","2058","3960","1938","3801","1792","3670","1875","3899","1849","3940","1871","3786","1891","3807","1993","3941","2189","3965"
"Arizona","7331","19529","8052","21196","8354","22087","8610","21950","9650","22747","10028","22299","11217","23693","13055","26453","13972","26717"
"Arkansas","4112","11303","4125","11921","4360","12247","4104","11334","3964","11625","4078","12088","4521","12216","4866","12453","5147","12513"
"California","47239","102645","51554","114657","52983","114396","54679","112460","60687","115339","67475","121387","73625","123906","83273","135040","88787","142006"
"Colorado","5259","14188","6057","15751","6155","15476","6050","14336","6957","14906","7706","16151","8624","16945","9744","17251","10650","18474"
"Connecticut","3426","9223","3825","9824","3524","9464","3481","9210","3757","9512","3926","9089","4268","9495","5618","11487","5829","10751"
"Delaware","1168","3296","1317","3191","1257","3181","1499","3714","1389","3084","1487","3118","1687","3678","1830","3562","2031","3992"
"District of Columbia","1789","3782","2225","4357","2345","4426","2400","3992","1555","3709","3108","4632","3112","4018","4279","4754","4135","4812"
"Florida","21362","53318","21685","54262","22009","55628","23300","56688","25239","58800","28332","62048","31275","63415","33811","66173","36219","68509"
"Georgia","11965","32863","13978","39829","14521","37456","14063","36559","14736","36871","17212","40302","19338","43377","20837","44080","21691","43903"
"Hawaii","1675","4340","1687","4314","1888","4452","1994","4646","1950","4469","2352","4720","2421","4480","2426","4424","2911","4811"
"Idaho","1183","3014","1347","3345","1344","3206","1528","3885","1547","3895","1663","3963","1869","4022","1990","4198","2102","4452"
"Illinois","15957","44598","18083","46728","18977","48575","17943","45764","19908","46516","21966","47268","24008","48128","26089","49336","27555","49746"
"Indiana","6451","16344","7681","20065","7850","21633","7708","20307","7921","20586","8492","20385","9174","21664","10673","23595","11131","23768"
"Iowa","2930","7612","3058","7647","3183","8194","3058","7895","3419","8385","3712","8372","4111","8872","4631","9261","4889","9793"
"Kansas","2152","7449","2440","8158","2695","8440","2689","8323","2840","8276","3139","8325","3472","8688","4082","9472","4437","9794"
"Kentucky","4488","11859","4577","11990","4851","12366","4989","12086","5194","12404","5273","12140","5590","12345","6194","13035","6249","13055"
"Louisiana","6658","20564","7568","23390","6846","20507","7481","21258","7655","21297","8974","23351","8784","22942","10212","24544","11068","25225"
"Maine","768","1814","944","2149","990","2420","1031","2404","1050","2478","1230","2735","1356","2795","1596","2959","1491","2854"
"Maryland","6336","19827","7197","20004","7193","19295","7654","19049","8237","19162","8780","18612","10479","20145","11449","21957","12539","22912"
"Massachusetts","6302","14753","7000","15744","7193","16319","7341","15851","7197","14000","8406","15588","9433","17299","10517","18716","11231","19096"
"Michigan","12926","36431","13095","36367","12962","34510","12683","32056","12723","31470","14015","32425","14417","31497","16420","34120","16844","33687"
"Minnesota","4329","10965","5075","11827","5430","12568","5791","12950","6414","13484","7122","14112","7703","14967","8183","15338","8527","15021"
"Mississippi","5459","15958","5519","15697","6281","16771","4788","12676","5588","14008","5018","12335","5955","14123","6363","14740","6723","15325"
"Missouri","7182","18867","7790","20097","8090","19745","8025","19303","8432","19549","9022","19926","10086","20757","10982","21701","11941","22787"
"Montana","888","2194","1016","2390","1172","2655","1116","2701","1314","2878","1338","2846","1454","2962","1528","3030","1710","3206"
"Nebraska","1548","3561","1987","4783","2093","4628","2196","4945","2357","5110","2531","5409","2649","5527","2927","5660","2789","5233"
"Nevada","2768","6897","3290","7215","3508","7628","3590","8183","3786","8039","4152","8743","4777","9849","5741","10473","6381","11057"
