"Title: "
"Timeframe: 2010 - 2019"
"Location","2010__Male","2010__Female","2010__Total","2011__Male","2011__Female","2011__Total","2012__Male","2012__Female","2012__Total","2013__Male","2013__Female","2013__Total","2014__Male","2014__Female","2014__Total","2015__Male","2015__Female","2015__Total","2016__Male","2016__Female","2016__Total","2017__Male","2017__Female","2017__Total","2018__Male","2018__Female","2018__Total","2019__Male","2019__Female","2019__Total",Footnotes
"United States","13319","7770","21089","14452","8322","22784","14730","8427","23157","15990","9051","25052","18420","10227","28647","21671","11420","33091","28498","13751","42249","32337","15263","47600","32078","14724","46802","34635","15225","49860","1, 2"
"Alabama","117","70","187","101","75","176","105","60","165","104","62","166","160","110","270","180","102","282","218","125","343","277","145","422","248","133","381","262","152","414"
"Alaska","32","30","62","45","21","66","50","31","81","48","21","69","45","31","76","54","32","86","64","30","94","60","42","102","36","32","68","61","22","83"
"Arizona","372","254","626","338","224","562","312","214","526","316","211","527","375","214","589","398","273","671","497","272","769","618","310","928","764","342","1106","920","370","1290"
"Arkansas","101","88","189","110","59","169","89","80","169","85","77","162","97","76","173","111","92","203","91","78","169","94","94","188","115","93","208","120","78","198"
"California","1225","704","1929","1280","658","1938","1123","596","1719","1285","663","1948","1322","702","2024","1301","717","2018","1368","644","2012","1540","659","2199","1710","700","2410","2361","874","3235"
"Colorado","178","126","304","249","169","418","230","177","407","259","174","433","317","200","517","303","192","495","340","196","536","359","219","578","378","186","564","402","231","633"
"Connecticut","154","69","223","150","59","209","148","53","201","305","134","439","357","168","525","499","186","685","626","229","855","717","238","955","717","231","948","830","270","1100"
"Delaware","58","45","103","62","51","113","52","30","82","78","35","113","84","40","124","87","46","133","105","49","154","178","72","250","248","107","355","276","111","387"
"District of Columbia","NSD","NSD","34","32","19","51","26","18","44","44","16","60","45","18","63","72","26","98","155","54","209","171","73","244","150","41","191","179","64","243"
"Florida","1104","570","1674","990","586","1576","791","535","1326","767","501","1268","865","534","1399","1190","648","1838","1934","864","2798","2243","1002","3245","2147","1042","3189","2645","1126","3771"
"Georgia","311","223","534","302","233","535","315","221","536","317","213","530","440","270","710","512","346","858","557","361","918","634","380","1014","556","310","866","570","292","862"
"Hawaii","52","22","74","53","24","77","40","22","62","46","23","69","34","25","59","43","19","62","50","27","77","35","18","53","43","16","59","36","19","55"
"Idaho","39","40","79","44","33","77","34","25","59","38","39","77","30","48","78","48","42","90","81","38","119","58","45","103","70","50","120","71","62","133"
"Illinois","596","271","867","652","255","907","840","311","1151","770","302","1072","821","384","1205","942","439","1381","1405","542","1947","1571","631","2202","1541","628","2169","1589","630","2219"
"Indiana","190","99","289","219","137","356","255","120","375","250","110","360","313","149","462","371","164","535","522","272","794","779","397","1176","722","382","1104","828","426","1254"
"Iowa","86","61","147","97","75","172","98","73","171","86","93","179","89","69","158","99","71","170","121","62","183","120","86","206","95","48","143","108","53","161"
"Kansas","68","36","104","69","49","118","105","66","171","86","72","158","99","74","173","77","73","150","82","64","146","80","64","144","93","63","156","111","73","184"
"Kentucky","396","195","591","428","241","669","413","260","673","430","235","665","463","266","729","563","322","885","632","357","989","735","425","1160","642","347","989","668","368","1036"
"Louisiana","73","50","123","62","54","116","112","57","169","178","87","265","185","75","260","185","102","287","220","126","346","287","128","415","311","133","444","377","181","558"
"Maine","60","30","90","56","29","85","68","32","100","79","46","125","116","55","171","164","74","238","209","92","301","270","90","360","212","70","282","230","93","323"
"Maryland","328","181","509","361","185","546","443","214","657","502","247","749","651","270","921","777","310","1087","1315","506","1821","1417","568","1985","1516","571","2087","1525","579","2104"
"Massachusetts","376","173","549","454","201","655","477","214","691","616","272","888","817","323","1140","1164","386","1550","1451","539","1990","1456","457","1913","1436","555","1991","1477","492","1969"
"Michigan","442","253","695","460","254","714","425","260","685","580","329","909","687","365","1052","861","448","1309","1191","571","1762","1334","699","2033","1324","687","2011","1219","570","1789"
"Minnesota","136","99","235","181","105","286","172","118","290","198","107","305","202","116","318","210","128","338","275","121","396","264","158","422","221","122","343","285","143","428"
"Mississippi","53","47","100","36","43","79","58","53","111","44","56","100","67","48","115","100","50","150","108","72","180","115","70","185","99","74","173","157","88","245"
"Missouri","407","192","599","394","201","595","350","189","539","391","229","620","442","254","696","435","257","692","609","305","914","642","310","952","768","364","1132","738","358","1096"
"Montana","28","26","54","32","31","63","33","18","51","33","34","67","26","27","53","24","24","48","26","16","42","26","12","38","35","29","64","41","29","70"
"Nebraska","30","28","58","28","25","53","29","24","53","20","21","41","30","26","56","35","20","55","31","13","44","36","23","59","36","27","63","38","30","68"
"Nevada","242","197","439","280","181","461","234","212","446","216","182","398","202","173","375","226","193","419","225","183","408","227","185","412","235","137","372","231","142","373"
"New Hampshire","76","40","116","97","57","154","79","54","133","112","45","157","212","85","297","276","104","380","317","120","437","298","126","424","301","111","412","249","116","365"
"New Jersey","255","118","373","322","132","454","435","167","602","466","209","675","505","223","728","629","233","862","1034","375","1409","1462","507","1969","1899","684","2583","1831","671","2502"
"New Mexico","136","55","191","163","80","243","198","121","319","203","119","322","242","160","402","225","126","351","219","130","349","214","118","332","222","116","338","260","134","394"
"New York","728","346","1074","919","437","1356","1077","453","1530","1181","500","1681","1200","539","1739","1574","592","2166","2191","818","3009","2425","799","3224","2165","826","2991","2130","809","2939"
"North Carolina","481","295","776","491","331","822","518","315","833","505","329","834","587","380","967","732","439","1171","926","580","1506","1304","649","1953","1191","592","1783","1270","547","1817"
"North Dakota","NSD","NSD","18","NSD","NSD","10","NSD","NSD","NSD","NSD","NSD","11","18","13","31","21","13","34","35","19","54","19","16","35","25","11","36","24","19","43"
"Ohio","725","399","1124","805","467","1272","883","472","1355","1101","529","1630","1407","699","2106","1793","905","2698","2468","1145","3613","2908","1385","4293","2184","1053","3237","2362","1090","3452"
"Oklahoma","304","206","510","270","213","483","266","265","531","268","243","511","269","233","502","227","200","427","230","214","444","219","169","388","186","122","308","161","107","268"
"Oregon","207","125","332","244","148","392","205","156","361","165","136","301","196","144","340","196","135","331","192","120","312","210","134","344","230","109","339","220","112","332"
