"Title: Population Distribution by Citizenship Status | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Citizen","2010__Non-Citizen","2010__Total","2011__Citizen","2011__Non-Citizen","2011__Total","2012__Citizen","2012__Non-Citizen","2012__Total","2013__Citizen","2013__Non-Citizen","2013__Total","2014__Citizen","2014__Non-Citizen","2014__Total","2015__Citizen","2015__Non-Citizen","2015__Total","2016__Citizen","2016__Non-Citizen","2016__Total","2017__Citizen","2017__Non-Citizen","2017__Total","2018__Citizen","2018__Non-Citizen","2018__Total","2019__Citizen","2019__Non-Citizen","2019__Total",Footnotes
"United States","278709000","22097200","300806200","281272400","21808300","303080600","283658600","21718000","305376600","285879600","21626000","307505500","288340900","21871300","310212200","290749100","22028900","312777900","292450300","22016100","314466400","294959400","22063200","317022500","296802900","21695500","318498500","297958500","21290900","319249300","1"
"Alabama","4531400","120000","4651400","4572100","103900","4676000","4592300","103700","4696000","4609500","96300","4705800","4614800","99300","4714100","4631000","99000","4730100","4636500","93600","4730100","4634800","106600","4741400","4658700","93900","4752600","4671000","96000","4767100"
"Alaska","661800","22800","684600","677000","20100","697100","683100","23200","706200","687100","18000","705100","682500","24100","706600","680200","27400","707500","693700","21200","714900","685500","24700","710100","689300","19800","709100","681200","20500","701700"
"Arizona","5720700","536200","6256900","5800800","523700","6324500","5864000","522300","6386300","5935700","530000","6465700","6015800","540500","6556200","6143000","512100","6655100","6230900","530000","6760900","6322100","519200","6841300","6488000","516200","7004300","6572400","525600","7098000"
"Arkansas","2740600","93400","2834000","2765200","84200","2849500","2776200","84000","2860200","2779000","89600","2868600","2778000","101900","2880000","2785700","96600","2882300","2808600","86800","2895400","2815100","94900","2910000","2824700","96600","2921300","2828400","94000","2922500"
"California","31079400","5436300","36515700","31493000","5369900","36862800","31900000","5321400","37221500","32294500","5216800","37511300","32706700","5274800","37981600","33036100","5289100","38325100","33205200","5237200","38442400","33655700","5058200","38713900","33789100","4956700","38745900","33802700","4840100","38642700"
"Colorado","4612600","303500","4916200","4673700","310200","4983900","4740800","305100","5045900","4829900","300200","5130200","4906800","310300","5217000","4991400","324000","5315400","5078800","319200","5398100","5151900","309200","5461100","5250500","304700","5555200","5341200","270600","5611800"
"Connecticut","3221200","242500","3463700","3230900","235500","3466400","3226900","252400","3479300","3229900","249100","3479000","3228600","251800","3480400","3220700","257300","3478100","3225500","239600","3465100","3228500","250200","3478700","3224300","242100","3466300","3218600","234700","3453300"
"Delaware","835900","35800","871700","838500","41500","880100","847600","40400","888000","859200","39300","898500","864000","41300","905300","867700","50600","918300","879300","45000","924300","885800","45900","931700","889800","47900","937700","891300","49000","940300"
"District of Columbia","522600","47500","570200","533200","50700","583900","542900","53000","596000","552700","57600","610300","569400","54100","623500","585100","49700","634800","597200","47100","644400","596900","60700","657600","618400","49400","667900","630600","40700","671300"
"Florida","16532000","1866800","18398800","16776700","1837500","18614200","17059500","1817400","18876900","17343000","1750200","19093200","17606900","1824100","19431100","17959200","1853300","19812500","18265300","1878700","20144000","18602800","1929500","20532300","18944400","1899100","20843500","19087100","1905000","20992000"
"Georgia","8814300","600300","9414700","8958900","558500","9517400","9041500","574800","9616400","9114900","576000","9690900","9228200","564600","9792900","9327900","581800","9909700","9407500","593500","10001000","9536300","585200","10121400","9639500","573300","10212800","9721300","572800","10294000"
"Hawaii","1197400","104200","1301600","1202000","109800","1311900","1223600","106700","1330300","1229800","101700","1331500","1248800","99300","1348100","1259400","103200","1362600","1252700","111900","1364600","1255600","100500","1356100","1246600","108200","1354800","1239300","103700","1343000"
"Idaho","1480400","58500","1538900","1481900","65400","1547300","1508100","54300","1562500","1519600","61300","1580900","1534400","64500","1598800","1555800","61400","1617200","1593600","57100","1650700","1628400","53800","1682100","1661000","58700","1719600","1699800","51100","1750900"
"Illinois","11551000","985400","12536400","11604100","949700","12553800","11621300","946600","12567900","11635900","935200","12571100","11713000","856400","12569400","11622700","927100","12549700","11613900","877300","12491200","11608500","888100","12496600","11571600","866700","12438400","11562200","800200","12362300"
