"Title: Population Distribution by Family Structure | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Adults with Children","2010__Adults with No Children","2010__Total","2011__Adults with Children","2011__Adults with No Children","2011__Total","2012__Adults with Children","2012__Adults with No Children","2012__Total","2013__Adults with Children","2013__Adults with No Children","2013__Total","2014__Adults with Children","2014__Adults with No Children","2014__Total","2015__Adults with Children","2015__Adults with No Children","2015__Total","2016__Adults with Children","2016__Adults with No Children","2016__Total","2017__Adults with Children","2017__Adults with No Children","2017__Total","2018__Adults with Children","2018__Adults with No Children","2018__Total","2019__Adults with Children","2019__Adults with No Children","2019__Total",Footnotes
"United States","65383100","119377600","184760600","65083000","121247500","186330500","64792000","122429000","187221000","64462100","123634800","188097000","64300600","124987300","189287800","64386000","125892700","190278700","64037300","126422200","190459500","64147400","127270500","191418000","63968500","127531200","191499600","63384600","127772500","191157100","1"
"Alabama","965800","1864000","2829700","992700","1854700","2847500","959700","1887600","2847300","963000","1875500","2838500","905200","1938400","2843600","932900","1900700","2833500","908400","1918000","2826400","878300","1941300","2819500","907700","1905600","2813300","898500","1905700","2804300"
"Alaska","159600","275600","435200","152400","293400","445900","160400","295700","456100","152600","294600","447200","156600","289800","446400","150400","294800","445200","146100","301200","447200","153600","283800","437400","148000","284600","432600","132500","296000","428500"
"Arizona","1327000","2362800","3689700","1320300","2413600","3733900","1303300","2449800","3753100","1313900","2478900","3792800","1316000","2510500","3826500","1321000","2556200","3877300","1332600","2584300","3916900","1322700","2646700","3969400","1389500","2662600","4052100","1360500","2742300","4102800"
"Arkansas","592300","1099200","1691500","607900","1097800","1705800","588500","1117000","1705500","597400","1102100","1699500","581500","1113300","1694800","600400","1102400","1702700","595200","1096700","1691800","602000","1096800","1698800","605000","1098600","1703600","595300","1100800","1696000"
"California","8172100","14489000","22661100","8147600","14772500","22920200","8126800","14986700","23113500","8048500","15250700","23299300","8062800","15541500","23604400","8087500","15701900","23789500","8041800","15732800","23774600","7955200","15981800","23936900","7816600","16027900","23844500","7801800","15930600","23732400"
"Colorado","1090100","2017300","3107400","1111500","2045400","3156900","1117400","2060200","3177600","1113300","2098500","3211800","1129800","2130400","3260200","1156600","2163100","3319700","1144900","2221600","3366600","1134700","2264900","3399500","1158500","2280000","3438600","1151100","2335000","3486100"
"Connecticut","766800","1367500","2134300","762200","1377800","2139900","766900","1373400","2140300","740800","1400700","2141500","724500","1416700","2141200","698400","1441100","2139400","681500","1448000","2129400","694500","1434700","2129100","707700","1400000","2107700","661100","1433100","2094200"
"Delaware","183300","350300","533600","185800","349600","535400","179800","358900","538700","169800","376000","545700","174300","370700","545000","184000","367200","551100","168600","382500","551100","167900","385600","553400","169000","384900","554000","164900","384800","549700"
"District of Columbia","74000","324200","398200","80400","327000","407400","79900","332500","412400","92100","333600","425700","85000","349200","434300","93900","349100","443000","94900","349600","444500","87200","363300","450500","90100","364900","455100","87600","367700","455300"
"Florida","3490000","7519700","11009700","3452100","7691300","11143400","3477500","7801500","11279000","3450200","7891600","11341800","3441400","8047700","11489100","3543100","8130500","11673600","3561100","8261100","11822200","3604800","8419000","12023700","3569800","8582700","12152500","3541300","8647100","12188400"
"Georgia","2108600","3721200","5829800","2093200","3783400","5876700","2122800","3793500","5916400","2062600","3874900","5937400","2126400","3863800","5990200","2124900","3917400","6042200","2115000","3950700","6065600","2101100","4035400","6136500","2097800","4078000","6175900","2064500","4133700","6198200"
