"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__White","2010__Black","2010__Hispanic","2010__Asian","2010__American Indian/Alaska Native","2010__Native Hawaiian/Other Pacific Islander","2010__Multiple Races","2010__Total","2011__White","2011__Black","2011__Hispanic","2011__Asian","2011__American Indian/Alaska Native","2011__Native Hawaiian/Other Pacific Islander","2011__Multiple Races","2011__Total","2012__White","2012__Black","2012__Hispanic","2012__Asian","2012__American Indian/Alaska Native","2012__Native Hawaiian/Other Pacific Islander","2012__Multiple Races","2012__Total","2013__White","2013__Black","2013__Hispanic","2013__Asian","2013__American Indian/Alaska Native","2013__Native Hawaiian/Other Pacific Islander","2013__Multiple Races","2013__Total","2014__White","2014__Black","2014__Hispanic","2014__Asian","2014__American Indian/Alaska Native","2014__Native Hawaiian/Other Pacific Islander","2014__Multiple Races","2014__Total","2015__White","2015__Black","2015__Hispanic","2015__Asian","2015__American Indian/Alaska Native","2015__Native Hawaiian/Other Pacific Islander","2015__Multiple Races","2015__Total","2016__White","2016__Black","2016__Hispanic","2016__Asian","2016__American Indian/Alaska Native","2016__Native Hawaiian/Other Pacific Islander","2016__Multiple Races","2016__Total","2017__White","2017__Black","2017__Hispanic","2017__Asian","2017__American Indian/Alaska Native","2017__Native Hawaiian/Other Pacific Islander","2017__Multiple Races","2017__Total","2018__White","2018__Black","2018__Hispanic","2018__Asian","2018__American Indian/Alaska Native","2018__Native Hawaiian/Other Pacific Islander","2018__Multiple Races","2018__Total","2019__White","2019__Black","2019__Hispanic","2019__Asian","2019__American Indian/Alaska Native","2019__Native Hawaiian/Other Pacific Islander","2019__Multiple Races","2019__Total",Footnotes
"United States","191844300","36217100","49603000","14275400","1997400","444100","6425000","300806200","192080600","36478000","50801600","14557700","2002400","441600","6718700","303080600","192305000","36797500","51773400","15067900","2022800","472200","6937700","305376600","192379500","37122600","52764900","15505700","2008700","448800","7275400","307505500","192419600","37599400","54059600","16156500","2006500","481900","7488800","310212200","192593600","37923800","55241300","16755300","1986900","466400","7810600","312777900","192537500","38081700","56144400","17004500","2041500","514600","8142200","314466400","192336100","38408000","57560600","17651200","2039400","502500","8524700","317022500","192117000","38655700","58483600","17844800","2082800","519500","8795000","318498500","191757100","38872200","59102900","18007200","2125700","528200","8856100","319249300","1"
"Alabama","3133000","1212100","176400","49300","23000","N/A","57200","4651400","3129700","1234700","181200","49000","20700","N/A","58900","4676000","3145700","1220200","179400","56700","23800","N/A","69100","4696000","3136100","1232900","184500","53500","17900","N/A","79400","4705800","3129100","1241500","184300","54100","20100","N/A","83200","4714100","3131400","1251500","188000","55300","16300","N/A","86500","4730100","3121800","1252500","194500","57600","21400","N/A","81100","4730100","3119100","1259900","195700","63800","19800","N/A","81800","4741400","3115600","1257300","204800","63800","19000","N/A","90700","4752600","3117200","1263500","211700","65200","18800","N/A","89200","4767100"
"Alaska","439300","20500","37900","35500","98500","5200","47700","684600","441500","19900","40600","38400","97200","6900","52600","697100","446300","23600","40300","42000","1.00E+05","6800","47200","706200","441000","23600","44100","35500","97400","9800","53800","705100","437700","21000","46600","42700","98400","8200","51900","706600","435400","22900","47600","49000","98700","2800","51000","707500","439200","20700","47800","42600","107200","8800","48600","714900","433000","18000","47400","46600","95500","6300","63300","710100","426100","20700","50200","43200","110300","7400","51100","709100","421100","15200","48900","42000","106000","10400","58200","701700"
"Arizona","3628600","236200","1857400","165900","252000","11500","105200","6256900","3634700","235400","1899500","172200","256500","10200","116100","6324500","3651000","247400","1920600","185200","253800","8400","120000","6386300","3675000","249900","1951200","186000","250800","8400","144400","6465700","3696900","256900","1998500","201900","257200","8000","136800","6556200","3714900","264200","2045900","207300","270800","8900","143100","6655100","3754900","270000","2087500","213600","266700","11600","156600","6760900","3761600","270200","2143400","220300","261300","12500","172000","6841300","3815100","297000","2213600","227200","271900","12000","167400","7004300","3843700","306600","2254800","231000","276100","12500","173400","7098000"
"Arkansas","2113800","443000","178300","32300","17600","4700","44300","2834000","2122800","439500","185400","33400","14900","7000","46500","2849500","2122600","438300","192100","35800","13700","5000","52800","2860200","2116100","442400","197600","35000","16200","N/A","60400","2868600","2119500","441900","201400","35100","15300","9000","57800","2880000","2106000","446400","204300","39000","18000","6100","62600","2882300","2114900","441600","210000","39500","17300","7700","64500","2895400","2109200","434100","220300","48100","13500","7300","77500","2910000","2110400","436900","224900","44200","17000","8200","79700","2921300","2108400","444200","226800","45500","16700","10800","70100","2922500"
"California","14600800","2042700","13825100","4777200","145000","125500","999300","36515700","14577300","2039700","14094900","4844800","140300","128300","1037400","36862800","14578700","2046600","14271100","4969400","139300","125200","1091100","37221500","14572300","2061400","14441900","5083300","131100","123000","1098300","37511300","14533900","2044300","14716500","5264600","125700","127300","1169400","37981600","14503600","2084000","14903200","5405400","130000","138000","1161000","38325100","14418700","2066000","15009300","5448900","121600","129900","1248000","38442400","14305700","2061600","15194400","5598000","138100","122900","1293200","38713900","14206900","2074900","15261300","5669100","120300","127200","1286000","38745900","14047400","2066300","15271400","5691100","138800","137000","1290700","38642700"
"Colorado","3452800","172400","1016300","129900","24200","4900","115600","4916200","3482600","181500","1043800","136400","24600","5100","109900","4983900","3517600","188200","1057400","144000","26100","4900","107600","5045900","3558300","183600","1079700","147000","23200","5500","132900","5130200","3600200","194200","1106200","149400","29600","4900","132500","5217000","3646600","204900","1137200","160200","25300","7500","133600","5315400","3708800","207900","1149700","167800","24700","7000","132100","5398100","3727100","204600","1179000","171300","30300","6400","142200","5461100","3774700","212200","1200900","176400","27600","5400","158000","5555200","3804100","211100","1221900","180300","29400","6200","158700","5611800"
"Connecticut","2467300","319600","467300","128000","4300","N/A","75700","3463700","2455800","327100","479900","133800","3700","N/A","65400","3466400","2440900","327200","495900","141500","5300","N/A","65900","3479300","2419300","333500","508100","141500","3900","N/A","72200","3479000","2394300","331100","525700","146300","4900","N/A","77500","3480400","2366300","342500","540400","149000","3700","N/A","75600","3478100","2342200","340100","546300","154900","4700","N/A","76700","3465100","2320900","336800","566200","155300","6700","N/A","92600","3478700","2298100","343000","576400","161300","4900","N/A","82500","3466300","2268200","346400","583300","158600","5600","N/A","90100","3453300"
"Delaware","572100","180200","71900","26700","N/A","N/A","18100","871700","575000","180900","74700","29000","2400","N/A","18000","880100","572800","181900","77200","29600","2000","N/A","24300","888000","577900","184300","79600","33700","2800","N/A","19900","898500","578400","190300","80700","35300","3500","N/A","16800","905300","580400","191900","83300","36000","2200","N/A","23900","918300","581900","191300","85000","37300","2900","N/A","25200","924300","583100","197900","85900","37300","N/A","N/A","24900","931700","582600","199900","88900","39100","3300","N/A","23700","937700","577700","205100","91100","36900","3000","N/A","26300","940300"
"District of Columbia","191200","293800","53600","19100","N/A","N/A","10800","570200","2.00E+05","292900","57000","20000","1500","N/A","12500","583900","207600","293900","61500","20000","1600","N/A","11400","596000","214500","296700","63500","19100","N/A","N/A","15600","610300","220500","300300","65700","22500","1600","N/A","13000","623500","225000","299400","68100","23400","N/A","N/A","17200","634800","231400","301700","71600","23800","N/A","N/A","15000","644400","236500","301800","72500","26900","1500","N/A","18100","657600","244800","299900","75600","23700","N/A","N/A","22500","667900","246100","302400","75200","25200","1800","N/A","20500","671300"
"Florida","10650200","2744700","4186400","438400","38100","9200","331900","18398800","10693800","2809300","4286500","442700","39100","11000","331700","18614200","10737900","2856600","4413400","473900","39500","10000","345600","18876900","10748400","2897800","4549700","489900","39300","7800","360400","19093200","10815800","2965100","4716100","505500","37000","12700","378900","19431100","10934500","3027300","4883700","524600","31100","8600","402700","19812500","11017500","3050800","5045400","539400","36300","10400","444300","20144000","11058700","3097400","5292800","571900","38400","10300","462800","20532300","11101600","3141700","5488400","571800","39300","9000","491600","20843500","11119200","3150100","5583900","573500","39900","12200","513300","20992000"
