"Title: Poverty Rate by Age | KFF"
"Timeframe: 2008 - 2019"
"Location","2008__Children 0-18","2008__Adults 19-64","2008__65+","2008__Total","2009__Children 0-18","2009__Adults 19-64","2009__65+","2009__Total","2010__Children 0-18","2010__Adults 19-64","2010__65+","2010__Total","2011__Children 0-18","2011__Adults 19-64","2011__65+","2011__Total","2012__Children 0-18","2012__Adults 19-64","2012__65+","2012__Total","2013__Children 0-18","2013__Adults 19-64","2013__65+","2013__Total","2014__Children 0-18","2014__Adults 19-64","2014__65+","2014__Total","2015__Children 0-18","2015__Adults 19-64","2015__65+","2015__Total","2016__Children 0-18","2016__Adults 19-64","2016__65+","2016__Total","2017__Children 0-18","2017__Adults 19-64","2017__65+","2017__Total","2018__Children 0-18","2018__Adults 19-64","2018__65+","2018__Total","2019__Children 0-18","2019__Adults 19-64","2019__65+","2019__Total",Footnotes
"United States","13935600","21406600","3683300","39025500","15366300","23752900","3602200","42721400","16521500","25995300","3563500","46080300","17106700","27343000","3741200","48190800","17157800","27395600","3921900","48475300","16756500","27740900","4159200","48656500","16391400","27406700","4230500","48028600","15671200","26232800","4173300","46077300","14745000","25030100","4417500","44192500","13907500","23921000","4558400","42386900","13547700","23292100","4804600","41644300","12492400","21892400","4998500","39383200","1"
"Alabama","255900","386100","73500","715400","284200","439500","69400","793000","330100","491200","67100","888400","324000","500500","70700","895200","311300","492300","75600","879200","317600","499000","74500","891200","320700","517300","78800","916800","303200","514300","76100","893600","278400","462800","76400","817600","273800","445000","77200","796000","273500","444300","80000","797800","234100","414300","87900","736300"
"Alaska","20800","30700","N/A","53100","25300","34400","1600","61400","28500","43900","3400","75800","28500","39900","3500","71900","29300","47900","3600","80800","21900","38200","N/A","63800","32600","53500","2500","88600","29200","41400","2500","73100","28000","44400","3100","75500","28300","48100","6900","83200","24500","46300","5300","76100","24200","43300","7600","75100"
"Arizona","368100","486600","74200","928900","417600","580700","70700","1069000","415300","612400","69300","1097000","458400","672600","79800","1210800","441500","648100","81300","1170800","443200","674000","85000","1202200","418100","663100","100900","1182000","406100","650300","97500","1153900","405700","606400","103200","1115400","344400","560300","103800","1008400","335200","536200","102500","973900","317700","515000","117900","950700"
"Arkansas","176800","247600","49400","473800","196400","273200","45600","515200","199900","290100","42000","531900","194800","296000","41700","532500","197200","301900","46400","545500","202500","303200","46300","552000","198200","297100","47300","542500","195300","315100","49000","559400","171400","277300","50100","498800","160500","260400","50200","471000","177400","278700","52100","508200","165600","264700","52200","482500"
"California","1792100","2627300","346400","4765900","1930200","2837200","356300","5123700","2117800","3237100","408600","5763500","2213600","3494800","428800","6137200","2290400","3533300","456300","6280000","2200000","3576200","492800","6269000","2152200","3560600","517700","6230500","2005600","3371500","501900","5879000","1870200","3112400","546700","5529200","1688400","2879700","549600","5117700","1608400","2745400","587100","4940800","1435800","2525400","598200","4559400"
"Colorado","186400","324800","43500","554600","225300","363700","43700","632800","216400","384400","44500","645300","223600","398300","43400","665200","238600","408900","43100","690600","219200","396600","48900","664800","205300","387000","45100","637400","193500","374800","46400","614700","174700","354400","54200","583200","158400","345600","59300","563300","157000","326100","58600","541700","138100","327300","60400","525800"
"Connecticut","104700","175800","35500","316000","103900","195300","26900","326100","106100","204400","32200","342700","128600","214600","35400","378600","125800","215200","34500","375500","118200","210000","37600","365800","110400","205500","39700","355600","108500","208800","39800","357100","97400","195800","35000","328200","94700","191000","40300","326000","109100","202900","46600","358600","106500","199300","45800","351600"
"Delaware","35600","51100","8100","94800","33500","53600","8000","95100","38500","56600","10200","105300","39700","59400","8900","108000","34200","63900","10500","108600","38600","67100","10900","116500","40300","66300","10800","117400","44300","69000","10900","124300","34500","60200","13000","107700","35300","70400","14600","120300","35000","65100","10400","110600","31900","56800","13900","102500"
"District of Columbia","30500","57200","10300","97900","35900","60000","9400","105300","32000","70100","8400","110500","33700","67800","9100","110600","30700","66200","7200","104100","32100","74500","11600","118200","30900","64300","9600","104900","30300","64500","9500","104400","34800","78100","9800","122700","32300","64700","10900","107900","31700","65200","14100","111000","27000","56600","12300","95900"
"Florida","752700","1279200","322300","2354100","894600","1476100","316800","2687500","985700","1741300","318800","3045700","1037600","1807300","331000","3175900","1063600","1815400","352900","3232000","1005700","1848600","381400","3235700","1006100","1827900","388200","3222200","981000","1732200","396800","3110100","904100","1658300","417300","2979700","881500","1570600","426100","2878300","838800","1504400","448000","2791200","779000","1415200","474400","2668600"
